State,City,Station,Format
Illinois,Peoria,WAZU - Strictly Hip-Hop 90.7 FM - Urban Contemporary/Hip Hop,Unknown Format
Illinois,Peoria,WZPW,Z-92.3
Illinois,Peoria,WPNV-LP - 106.3 WPNV - Urban Adult Contemporary,Unknown Format
Illinois,Peoria,WKZF - KZ-102.3 - Rhythmic Adult Contemporary,Unknown Format
Illinois,Peoria,WVEL - AM 1140 - Urban gospel,Unknown Format
Illinois,Rockford,WYRB,Power 106
Illinois,Rockford,WYRB HD-2 - Urban Adult Contemporary (Simulcast of WSRB in Chicago),Unknown Format
Illinois,Rockford,WYRB HD-3 - Urban Gospel (Simulcast of WYCA in Chicago),Unknown Format
Illinois,Quad Cities,WGVV-LP,Groove 92.5
Indiana,Indianapolis,WTLC,1310 the Light
Indiana,Indianapolis,WHHH - Hot 100.9 - Urban contemporary,Unknown Format
Indiana,Indianapolis,WTLC-FM,WTLC 106.7
Indiana,Indianapolis,WZRL - Real 98.3 - Mainstream urban,Unknown Format
Indiana,Indianapolis,WSYW - Exitos 94.3 - Spanish CHR,Unknown Format
Indiana,South Bend,WSMK,Smokin' 99.1
Indiana,South Bend,WUBU - The New Mix 102.3 - Urban adult contemporary,Unknown Format
Indiana,Fort Wayne,WJFX-HD2 - Loud 103.3 - Rhythmic Top 40/Hip Hop,Unknown Format
Indiana,Fort Wayne,WJFX-HD3,B-96.9
Indiana,Fort Wayne,WRNP/WBCL HD-2 - Rhythm & Praise 94.1 - Urban Gospel,Unknown Format
Indiana,Evansville,WEOA,98.5 WEOA
Iowa,Des Moines,KJMC,K-Jam 89.3
Iowa,Waterloo,KBBG,88.1
Iowa,Waterloo,KBDJ-LP - KBDJ 97.1 The Hot Jamz - Urban Contemporary,Unknown Format
Kansas,Wichita,KDGS,Power 93.5
Kansas,Wichita,KYOM-LP - KYOM 104.9 - Urban Contemporary/Community Radio,Unknown Format
Kansas,Topeka,KQRB - 96.9 The Beat - Urban Contemporary,Unknown Format
Kentucky,Louisville,WLLV,Gospel 101.9 FM & 1240 AM
Kentucky,Louisville,WLOU/WLUE,104.7 Jamz
Kentucky,Louisville,WGZB,B96.5
Kentucky,Louisville,WMJM,Magic 101.3
Kentucky,Louisville,WTFX-FM,Real 93.1
Kentucky,Louisville,WRKA - 103.9 The Groove - Urban Adult Contemporary,Unknown Format
Kentucky,Lexington,WBTF,107.9 the Beat
Kentucky,Lexington,WLKT HD-2,Real 103.9
Kentucky,Owensboro,WXCM HD-3 - 100.5 The Vibe - Classic Hip Hop,Unknown Format
Kentucky,Bowling Green,WOVO-HD2/W239BT/W240CP - 95.9 The Vibe - Rhythmic Top 40,Unknown Format
Kentucky,"Pineville, Kentucky",WQJM - Jamz 98.1 - Rhythmic Hot AC,Unknown Format
Louisiana,New Orleans,"WBOK - WBOK 1230 AM - Urban Talk, Urban Gospel, Brokered Programming",Unknown Format
Louisiana,New Orleans,KKNO,K-75AM & K-107.1
Louisiana,New Orleans,WYLD,Hallelujah 940
Louisiana,New Orleans,WODT/K244FX - New Orleans’ BIN 1280 - Black-oriented news,Unknown Format
Louisiana,New Orleans,WQUE-FM,Q93.3
Louisiana,New Orleans,WYLD-FM, 98.5 WYLD
Louisiana,New Orleans,KMEZ,KMEZ 102.9
Louisiana,New Orleans,WRNO-HD2/K242CE - Throwback 96.3 - Classic hip hop,Unknown Format
Louisiana,New Orleans,KKND - Heaven 106.7 - Urban Gospel,Unknown Format
Louisiana,New Orleans,WFNO - Latino Mix 97.5 - Spanish Hot AC,Unknown Format
Louisiana,New Orleans,KGLA - Tropical 105.7 - Spanish tropical,Unknown Format
Louisiana,Baton Rouge,WPFC,1550 WPFC - Urban Gospel
Louisiana,Baton Rouge,WXOK,Heaven 1460
Louisiana,Baton Rouge,KQXL-FM,Q106.5
Louisiana,Baton Rouge,KHXT,Hot 107.9
Louisiana,Baton Rouge,WEMX,Max 94.1
Louisiana,Baton Rouge,WTQT-LP - 106.1 -   Urban gospel,Unknown Format
Louisiana,Baton Rouge,KCLF - 1500 - Rhythmic oldies,Unknown Format
Louisiana,Lafayette,KFXZ-FM,Z105.9
Louisiana,Lafayette,KNEK-FM, Magic 104.7 KNEK
Louisiana,Lafayette,KHXT,Hot 107.9
Louisiana,Lafayette,KRRQ, Q95.5
Louisiana,Lafayette,KZJM-LP - 92.7 Jam Central - Urban Contemporary,Unknown Format
Louisiana,Shreveport/Bossier City,KMJJ-FM,99.7 KMJJ
Louisiana,Shreveport/Bossier City,KBTT,103.7 Tha Beat
Louisiana,Shreveport/Bossier City,KDKS,Hot 102
Louisiana,Shreveport/Bossier City,KVMA-FM,Magic 102.9
Louisiana,Shreveport/Bossier City,KOKA,AM 980 KOKA
Louisiana,Shreveport/Bossier City,KIOU,1480
Louisiana,Shreveport/Bossier City,KSYB,1300
Louisiana,Lake Charles,KTSR - Magic 92.1 - Urban Adult Contemporary,Unknown Format
Louisiana,Lake Charles,KJMH,107 Jamz
Louisiana,Lake Charles,KZWA,Live 104.9
Louisiana,Lake Charles,KPPM-LP - King Power Praise Music 105.3 - Urban Gospel,Unknown Format
Louisiana,Houma/Thibodaux,KJIN - 	104.7 Jamz - Urban Adult Contemporary,Unknown Format
Louisiana,Monroe/Bastrop,KRVV,100.1 The Beat
Louisiana,Monroe/Bastrop,KMVX,Mix 101.9
Louisiana,Monroe/Bastrop,KJMG,Majic 97
Louisiana,Monroe/Bastrop,KOUS-LP - 96.3 - Urban Oldies,Unknown Format
Louisiana,Alexandria,KTTP,KTTP AM 1110
Louisiana,Alexandria,KKST,Kiss 98.7
Louisiana,Alexandria,KKST-HD2 - Urban adult contemporary,Unknown Format
Louisiana,Alexandria,KKST-HD3 - Urban contemporary gospel,Unknown Format
Louisiana,Alexandria,KMXH,Mix 93.9
Louisiana,Ruston/Grambling,KRUS,Hitz 96.3
Louisiana,Morgan City,KBZE - 105.9 The Breeze - Urban Adult Contemporary,Unknown Format
Maine,Augusta,WHTP,Hot Radio Maine
Maine,Bangor,WHZP,Hot Radio Maine
Maine,Portland,WHTP-FM,Hot 104.7
Maryland,Baltimore,WCAO,Heaven 600AM
Maryland,Baltimore,WOLB,1010 Urban News/Talk
Maryland,Baltimore,WWIN,Spirit 1400AM
Maryland,Baltimore,WERQ,92Q Jams
Maryland,Baltimore,WWIN-FM,Magic 95.9
Maryland,Baltimore,WQLL/W260BV - Baltimore's BIN 1370 - Black-oriented news,Unknown Format
Maryland,Baltimore,WLIF HD-2 - Praise 106.1 - Urban Gospel,Unknown Format
Maryland,Salisbury,WSBY,Magic 98.9
Maryland,Salisbury,WESM,FM 91.3
Maryland,Salisbury,WZEB,Power 101.7 - Rhythmic Top 40
Maryland,Salisbury,WKTT - Live 97.5 - Urban Contemporary,Unknown Format
Maryland,Salisbury,WKDB - Maxima 95.3 - Spanish CHR,Unknown Format
Maryland,Hagerstown,WDLD - Live 96.7 - Rhythmic Top 40,Unknown Format
Maryland,Elkton,WSRY - Reach Gospel Radio - Urban gospel,Unknown Format
Massachusetts,Boston/Lawrence,WJMN-FM,Jam'n 94.5
Massachusetts,Boston/Lawrence,WJMN-HD2 - Black Information Network - Black-oriented news,Unknown Format
Massachusetts,Boston/Lawrence,WBQT- Hot 96.9,Rhythmic Hot AC
Massachusetts,Boston/Lawrence,WCCM - Exitos 103.7 FM & 1490 AM - Spanish CHR,Unknown Format
Massachusetts,Boston/Lawrence,"WAMG - ""Mega 96.5"" - Spanish tropical",Unknown Format
Massachusetts,Boston/Lawrence,"WLLH - ""Mega 95.1"" - Spanish tropical",Unknown Format
Massachusetts,Boston/Lawrence,WERS-HD2 - WERS Plus 88.9 HD-2 Boston's Black Experience - Urban contemporary,Unknown Format
Massachusetts,Boston/Lawrence,WZRM - Rumba 97.7 - Spanish tropical,Unknown Format
Massachusetts,Boston/Lawrence,"WJDA - ""Latina 99.9 FM"" - Reggaeton",Unknown Format
Massachusetts,Boston/Lawrence,"WNNW - ""Power 800 AM/102.9 FM"" - Spanish tropical",Unknown Format
Massachusetts,Springfield,WHYN-HD2 - 97.3 The Beat - Urban contemporary,Unknown Format
Massachusetts,Springfield,WACM - Jammin' 100.1 - Rhythmic Top-40,Unknown Format
Massachusetts,Springfield,WSPR - Bomba FM - Spanish tropical,Unknown Format
Massachusetts,Springfield,WHLL - Nueva 98.1 - Spanish CHR,Unknown Format
Massachusetts,Worcester,"WORC - ""Mega 106.1"" - Spanish tropical",Unknown Format
Michigan,Detroit,WMXD,Mix 92.3
Michigan,Detroit,WJLB,97.9 WJLB
Michigan,Detroit,WDMK,105.9 Kiss FM
Michigan,Detroit,WDMK HD-2 - The Detroit Praise Network 98.3 & 99.9 - Urban Gospel,Unknown Format
Michigan,Detroit,WGPR,Hot 107-5
Michigan,Detroit,WMGC-FM - 105.1 The Bounce - Classic Hip-Hop & R&B,Unknown Format
Michigan,Detroit,WCHB,1340 WCHB - Urban contemporary gospel
Michigan,Detroit,WMKM - Rejoice AM 1440 - Urban Gospel,Unknown Format
Michigan,Detroit,WDFN - Detroit's BIN 1130 - Black-oriented news,Unknown Format
Michigan,Detroit,WSHJ - 88.3 FM - Urban contemporary,Unknown Format
Michigan,Grand Rapids,WDPW, Power 91.9
Michigan,Grand Rapids,WJWC-LP -  97.3 The Heat - Urban Contemporary/ Community radio,Unknown Format
Michigan,Grand Rapids,WSNX, 104.5 WSNX
Michigan,Grand Rapids,WNWZ,Magic 104.9
Michigan,Grand Rapids,WPRR - 102.5 The Ride - Urban Adult Contemporary,Unknown Format
Michigan,Kalamazoo/Battle Creek,WFPM-LP - Miracle Radio 99.5 FM - Urban gospel,Unknown Format
Michigan,Kalamazoo/Battle Creek,WBXX/WKFR-HD2 - 102.5/104.9 The Block - Urban adult contemporary,Unknown Format
Michigan,Kalamazoo/Battle Creek,WTOU,The Touch 95.5 FM & 1660 AM
Michigan,Lansing,WWSJ,Joy 1580 & 100.3
Michigan,Lansing,WQHH,Power 96.5 FM
Michigan,Lansing,WQTX - Stacks 92.1 - Rhythmic Adult Contemporary,Unknown Format
Michigan,Muskegon,WVIB,V100
Michigan,Muskegon,WUVS-LP,103.7 The Beat
Michigan,Muskegon,WUGM-LP,106.1
Michigan,Flint,WFLT - AM 1420 - Urban Gospel,Unknown Format
Michigan,Flint,WDZZ-FM,Z92.7
Michigan,Flint,WRCL,Club 93.7
Michigan,Flint,WOWE - 98.9 The Beat - Urban Contemporary,Unknown Format
Michigan,Saginaw/Bay City,WTLZ,Kiss 107.1
Michigan,Greenville,WDPW - Power 91.9 - Urban contemporary gospel,Unknown Format
Minnesota,Minneapolis/Saint Paul,KMOJ,89.9 KMOJ 
Minnesota,Minneapolis/Saint Paul,KMOJ-HD2 - The Ice 89.9 HD-2 - Hip Hop,Unknown Format
Minnesota,Minneapolis/Saint Paul,KTCZ-HD3 - Hot 102.5 - Mainstream urban,Unknown Format
Minnesota,Minneapolis/Saint Paul,KQQL-HD2/W227BF - Twin Cities’ BIN 93.3 - Black-oriented news,Unknown Format
Mississippi,Jackson,WOAD,Gospel 1300 AM & 103.5 FM - Urban contemporary gospel
Mississippi,Jackson,WJSU-FM,FM 88
Mississippi,Jackson,WMPR,"WMPR 90.1 FM - Urban contemporary, Blues, Urban Gospel, Variety"
Mississippi,Jackson,WHLH,95.5 Hallelujah FM
Mississippi,Jackson,WRBJ-FM,97.7 FM
Mississippi,Jackson,WJMI,99 Jams
Mississippi,Jackson,WKXI-FM,Kixie 107
Mississippi,Jackson,WRTM-FM,Smooth 100.5
Mississippi,Jackson,WFQY,BDAY 99.1
Mississippi,Jackson,WJDX-FM - Real 105.1 - Mainstream urban,Unknown Format
Mississippi,Jackson,WSFZ/W251DB - Jackson's BIN 98.1 - Black-oriented news,Unknown Format
Mississippi,Jackson,WONG - Soul 1150 - Urban AC/Gospel music,Unknown Format
Mississippi,Jackson,WMGO - AM 1370 - Urban contemporary,Unknown Format
Mississippi,Jackson,WHJT HD-2 - Blues 93.1 - Blues,Unknown Format
Mississippi,Jackson,WIIN - 102.1 The Box - Rhythmic Oldies,Unknown Format
Mississippi,Jackson,WDXO/WOEG - G93 - Classic hip hop,Unknown Format
Mississippi,Gulfport/Biloxi,WQFX,My Power Gospel 98.7 FM & 1130 AM
Mississippi,Gulfport/Biloxi,WJZD-FM,JZ94.5
Mississippi,Gulfport/Biloxi,WGBL - G-96.7 - Classic Hip Hop,Unknown Format
Mississippi,Gulfport/Biloxi,WZKX-HD3 - The Hype - Rhythmic adult contemporary,Unknown Format
Mississippi,Hattiesburg/Laurel,WHJA,Power 101.1
Mississippi,Hattiesburg/Laurel,WORV,WORV 1580 AM
Mississippi,Hattiesburg/Laurel,WJKX,102JKX
Mississippi,Hattiesburg/Laurel,WJMG,92.1 WJMG
Mississippi,Hattiesburg/Laurel,WZLD,Wild 106.3
Mississippi,Hattiesburg/Laurel,WGDQ - 93.1 WGDQ - Urban Gospel,Unknown Format
Mississippi,Hattiesburg/Laurel,WQID-LP - Hot 105.3 - Urban contemporary,Unknown Format
Mississippi,Hattiesburg/Laurel,WKZW HD-2 - 97.7 The Groove - Urban Oldies,Unknown Format
Mississippi,Greenville/Greenwood,WIBT,97.9 The Beat
Mississippi,Greenville/Greenwood,WBAD,Bad 94
Mississippi,Greenville/Greenwood,WGNG,106.3 The Heat
Mississippi,Greenville/Greenwood,WGNL,104.3 WGNL
Mississippi,Greenville/Greenwood,KZYQ - Star 101 - Urban adult contemporary,Unknown Format
Mississippi,Greenville/Greenwood,WNLA - Gospel,Unknown Format
Mississippi,Greenville/Greenwood,WXTN - Urban contemporary gospel,Unknown Format
Mississippi,Greenville/Greenwood,WAGR-FM - Power 102.5 - Urban contemporary gospel,Unknown Format
Mississippi,Greenville/Greenwood,WBZL - G103.3 - Classic hip hop,Unknown Format
Mississippi,Clarksdale/Cleveland,WAID,"""Power 106.5"""
Mississippi,Clarksdale/Cleveland,WCLD-FM,"""Jammin' 104"""
Mississippi,Clarksdale/Cleveland,"WZYQ - ""Star 101"" - Urban adult contemporary",Unknown Format
Mississippi,Clarksdale/Cleveland,"WCLD - ""Rejoice 1490 AM & 96.5 FM"" - Gospel",Unknown Format
Mississippi,Meridian,WJXM - 95.1 The Beat - Mainstream Urban,Unknown Format
Mississippi,Meridian,WMER,Solid Gospel 1390
Mississippi,Meridian,WZKS,Kiss 104.1
Mississippi,Meridian,WMOG - Praise 95.9 FM & 910 AM - Urban Gospel,Unknown Format
Mississippi,Meridian,WHSL - Hot 107.7 - Urban adult contemporary,Unknown Format
Mississippi,Tupelo,WESE,92.5 THE BEAT
Mississippi,Tupelo,WSEL-FM,Inspiration 97
Mississippi,Tupelo,WELO/W282AS - Pulse 104.3 & 580 - Classic soul,Unknown Format
Mississippi,Tupelo,WTUP/W299CS- Tupelo's BIN 107.7 - Black-oriented news,Unknown Format
Mississippi,Columbus,WACR-FM,WACR 105.3
Mississippi,Columbus,WAJV,Joy 98.9
Mississippi,Columbus,WMSU,Power 92 Jamz
Mississippi,Columbus,WMXU,Mix 106.1
Mississippi,Columbus,WTWG - AM 1050 - Gospel,Unknown Format
Mississippi,Liberty,WAZA - The Touch WAZA - Urban adult contemporary,Unknown Format
Mississippi,Holly Springs,WKRA-FM - The Change 92.7 - Urban Gospel/Urban Contemporary,Unknown Format
Mississippi,Natchez,WNAT - Jam’n 106.3 - Rhythmic AC,Unknown Format
Mississippi,Natchez,WTYJ - 97.7 The Beat - Urban contemporary,Unknown Format
Missouri,Saint Louis,KATZ,Hallelujah 1600 AM
Missouri,Saint Louis,KSTL,Jubilee 690
Missouri,Saint Louis,KATZ-FM,100.3 The Beat
Missouri,Saint Louis,KATZ-HD2/W279AQ,St Louis’ BIN 103.7 - Black-oriented news
Missouri,Saint Louis,WFUN-FM,96.3 The Lou
Missouri,Saint Louis,WHHL,Hot 104.1
Missouri,Saint Louis,KTLK-FM HD-2 - Majic 104.9 HD-2 - Urban Adult Contemporary,Unknown Format
Missouri,Saint Louis,KSIQ-LP - Mix 99.5 - Urban Adult Contemporary,Unknown Format
Missouri,Saint Louis,KXBS-HD2,95.5 HD2 Jams
Missouri,Saint Louis,KXBS-HD3 - Foxy 106.9 - Urban adult contemporary,Unknown Format
Missouri,Saint Louis,KDRM-DB,Streetz 105.1
Missouri,Kansas City,KPRT,Gospel 1590 AM & 106.1 FM KPRT
Missouri,Kansas City,KCJK,Power 105.1
Missouri,Kansas City,KPRS,Hot 103 Jamz
Missouri,Kansas City,KPRS-HD2 - RNB 106.9 - Urban Adult Contemporary,Unknown Format
Missouri,Kansas City,KCPZ-LP - Praise 95.3 - Urban Gospel,Unknown Format
Missouri,Columbia/Jefferson City,KJLU,88.9
Missouri,Jackson/Cape Girardeau,KJXX - 101.9 The Block - Rhythmic Adult Contemporary,Unknown Format
Nebraska,Omaha,KOPW,Power 106-9
Nebraska,Omaha,KOWN-LP - 95.7 The Boss - Urban Contemporary/Hip Hop,Unknown Format
Nebraska,Omaha,KXNB-LP - Mind And Soul 101.3 - Urban Contemporary,Unknown Format
Nebraska,Omaha,KJSO-LP - 101.3 FM - Hip Hop (Shares time with KXNB-LP),Unknown Format
Nebraska,Omaha,KCUG-LP - 100.3 FM - Urban Gospel,Unknown Format
Nevada,Las Vegas,KCEP,Power 88FM
Nevada,Las Vegas,KOAS,Jammin' 105.7
Nevada,Las Vegas,KVEG,Hot 97.5
Nevada,Las Vegas,KYMT-HD2 - Real 103.9 - Urban Contemporary,Unknown Format
Nevada,Las Vegas,"KXQQ-FM - Q100.5 - Rhythmic Adult Contemporary
KXQQ-HD3 - 100.5 Jamz - Hip hop",Unknown Format
Nevada,Las Vegas,KXQQ-HD3 - 100.5 Jamz - Hip hop,Unknown Format
Nevada,Las Vegas,KRGT - Latino Beats 99.3 - Spanish Urban,Unknown Format
Nevada,Las Vegas,KRRN - Fuego 92.7 - Bilingual Rhythmic Contemporary,Unknown Format
Nevada,Las Vegas,KVGQ - 106.9 Da Bomb - Classic hip hop,Unknown Format
Nevada,Las Vegas,KBET - 103.1 The Hustle - Urban contemporary,Unknown Format
Nevada,Reno,KNEV - 95.5 The Vibe - Classic Hip Hop,Unknown Format
Nevada,Reno,KLCA HD-2/K285EQ/K228DA - Swag 104.9 & 93.5 - Urban Contemporary/Hip Hop,Unknown Format
Nevada,Reno,KWYL - Wild 102.9 - Rhythmic Top 40,Unknown Format
Nevada,Reno,KZTI - Kalor 105.3 - Spanish rhythmic,Unknown Format
New Hampshire,Concord,WEHA,88.7 - Urban Gospel
New Hampshire,Concord,WTTH,96.1 WTTH
New Hampshire,Concord,WZBZ,99.3 The Buzz
New Jersey,Atlantic City,WEHA,88.7 - Urban Gospel
New Jersey,Atlantic City,WTTH,96.1 WTTH
New Jersey,Atlantic City,WZBZ,99.3 The Buzz
New Jersey,Beach Haven West,WVBH - Reach Gospel Radio 88.3 FM - Urban gospel,Unknown Format
New Jersey,Trenton,WIFI - Maxima 92.9 - Spanish CHR,Unknown Format
New Mexico,Albuquerque/Santa Fe,KKSS,Kiss 97.3
New Mexico,Albuquerque/Santa Fe,"KMGG-LP - 99.9 The Beat - Urban adult contemporary
KMGG-LP HD-3 - Wild 99.9 HD-3 - Urban contemporary",Unknown Format
New Mexico,Albuquerque/Santa Fe,KMGG-LP HD-3 - Wild 99.9 HD-3 - Urban contemporary,Unknown Format
New Mexico,Albuquerque/Santa Fe,KABQ-FM - Hot 95.1 - Rhythmic Oldies / Classic hip hop,Unknown Format
New Mexico,Albuquerque/Santa Fe,KZRR HD-2/K265CA - Power 100.9 - Mainstream urban,Unknown Format
New Mexico,Albuquerque/Santa Fe,KYLZ - 101.3 The Hustle - Mainstream urban,Unknown Format
New Mexico,Albuquerque/Santa Fe,KJFA-FM - Fuego 102.9 - Hispanic rhythmic,Unknown Format
New Mexico,Albuquerque/Santa Fe,KLBU - Jam'n 94.7 - Rhythmic contemporary,Unknown Format
New Mexico,Las Cruces,KHQT - Hot 103.1 - Rhythmic Top 40,Unknown Format
New Mexico,Las Cruces,KSIL - Latin X 94.3 - Bilingual Rhythmic CHR,Unknown Format
New Mexico,Las Cruces,KWML - Kool 104.5 - Rhythmic adult contemporary,Unknown Format
New Mexico,Farmington,KXTC - 99.9 XTC - Rhythmic Top 40,Unknown Format
New York,New York City,WLIB,1190 WLIB
New York,New York City,WBLS,107.5 WBLS
New York,New York City,WKTU,KTU 103.5
New York,New York City,WQHT,Hot 97
New York,New York City,WWPR-FM,Power 105.1
New York,New York City,WWRL/WWPR-HD3 - New York's BIN 1600 - Black-oriented news,Unknown Format
New York,New York City,WXNY-FM - La X 96.3 - Hispanic rhythmic,Unknown Format
New York,New York City,WXBK - 94.7 The Block - Classic hip hop,Unknown Format
New York,New York City,WSKQ-FM - Mega 97.9 - Spanish tropical,Unknown Format
New York,New York City,WPAT-FM - 93.1 Amor - Spanish tropical,Unknown Format
New York,Buffalo,WUFO,Power 96.5
New York,Buffalo,WWWS,Classic R&B 107.3 FM & AM 1400
New York,Buffalo,WBLK,Power 93.7 WBLK
New York,Buffalo,WBLK-HD2,Urban adult contemporary
New York,Rochester,WDKX,103.9 WDKX
New York,Rochester,WKGS,106.7 KISS FM - Rhythmic Top 40
New York,Rochester,WLGZ-HD2 - 105.5 The Beat - Urban Contemporary,Unknown Format
New York,Rochester,WXIR-LP - 100.9 Extreme Independent Radio -  Urban variety,Unknown Format
New York,Rochester,WRSB - Mega 97.5 - Spanish CHR,Unknown Format
New York,Syracuse,WHEN/W269DT/WSYR-FM HD 2 ,Power 620
New York,Syracuse,WJPZ,Z89
New York,Syracuse,WMVN,96.5/100.3 The Beat
New York,Albany,WAJZ,Jamz 96.3
New York,Albany,WQBK-HD2,Hot 99.1
New York,Binghamton,WJOB-FM - 93.3 WJOB - Urban Contemporary,Unknown Format
New York,Utica,WUSP/WRCK - 95.5 The Heat - Urban contemporary,Unknown Format
North Carolina,Asheville,WRES-LP - WRES 100.7 - Urban Contemporary/Urban Variety,Unknown Format
North Carolina,Charlotte,WDEX,1430 AM
North Carolina,Charlotte,WPZS,Praise 100.9
North Carolina,Charlotte,WOSF,105.3 RNB
North Carolina,Charlotte,WBAV,V101.9
North Carolina,Charlotte,WFNZ ,102.5 The Block
North Carolina,Charlotte,WGIV/WDYT,1370 AM / 1220 AM / W277CB / W263CY / W281BY Streetz 103.3 & 100.5
North Carolina,Charlotte,WPEG,Power 98
North Carolina,Charlotte,WRFX-HD2/W254AZ - Charlotte's BIN 98.7 - Black-oriented news,Unknown Format
North Carolina,Charlotte,WOGR-FM - Wordnet 93.3 - Urban Gospel,Unknown Format
North Carolina,Charlotte,WGSP/WGSP-FM - Latina 102.3 y 107.5 - Spanish tropical,Unknown Format
North Carolina,Greensboro/Winston-Salem/High Point,WJMH,102 Jamz
North Carolina,Greensboro/Winston-Salem/High Point,WQMG - 97.1 QMG - Urban Adult Contemporary,Unknown Format
North Carolina,Greensboro/Winston-Salem/High Point,WKEW/WPOL,The Light 1340 & 1400
North Carolina,Greensboro/Winston-Salem/High Point,WBLO - Latina 106.9 - Spanish tropical,Unknown Format
North Carolina,Greensboro/Winston-Salem/High Point,"WNAA - The Voice 90.1 - R&B, Blues, Jazz, Urban Gospel, Variety",Unknown Format
North Carolina,Raleigh/Durham,WAUG,Hot 97.9 FM/750 AM
North Carolina,Raleigh/Durham,WDCG-HD2 - 95.1/95.3 The Beat - Classic Hip Hop,Unknown Format
North Carolina,Raleigh/Durham,WQOK,K 97.5
North Carolina,Raleigh/Durham,WFXC/WFXK,Foxy 107.1/104.3
North Carolina,Raleigh/Durham,WNNL - The Light 103.9 - Urban Gospel,Unknown Format
North Carolina,Fayetteville/Lumberton/Fairmont,WCCG,104.5
North Carolina,Fayetteville/Lumberton/Fairmont,WZFX,Foxy 99.1
North Carolina,Fayetteville/Lumberton/Fairmont,WMGU,Magic 106.9
North Carolina,Fayetteville/Lumberton/Fairmont,WUKS,107.7 The Bounce
North Carolina,Fayetteville/Lumberton/Fairmont,WIDU - 99.7 FM/1600 AM - Urban Gospel,Unknown Format
North Carolina,Fayetteville/Lumberton/Fairmont,WAGR - 97.1 FM/98.5FM/1340 AM - Urban Gospel,Unknown Format
North Carolina,Fayetteville/Lumberton/Fairmont,WFMO - The Light 97.5 FM/860 AM - Urban Gospel,Unknown Format
North Carolina,Wilmington,WMNX,Coast 97.3
North Carolina,Wilmington,WKXB,Jammin 99.9
North Carolina,New Bern/Greenville/Jacksonville/Moorehead City,WIKS,101.9 Kiss FM
North Carolina,New Bern/Greenville/Jacksonville/Moorehead City,WWMC,1010 AM
North Carolina,New Bern/Greenville/Jacksonville/Moorehead City,WFMC,730 AM
North Carolina,New Bern/Greenville/Jacksonville/Moorehead City,WNCT,Beach Boogie & Blues 1070 AM / 105.9 / 95.7 / 101.1 
North Carolina,New Bern/Greenville/Jacksonville/Moorehead City,WNBU - Groovin’ Oldies 94.1 & 97.9 - Rhythmic Oldies,Unknown Format
North Carolina,Rocky Mount/Wilson,WRSV - Choice FM 92.1 - Mainstream Urban,Unknown Format
North Carolina,Rocky Mount/Wilson,WPWZ - Power 95.5 - Mainstream Urban,Unknown Format
North Carolina,Rocky Mount/Wilson,"WYLT-LP - Smooth Radio 100.3 - Urban oldies, Southern soul",Unknown Format
North Carolina,Rocky Mount/Wilson,WAJA-LP - 102.5 The Promise - Urban Gospel,Unknown Format
North Carolina,Rocky Mount/Wilson,WCPS - Power 96.3 FM/760 AM,"Urban Gospel, Urban Oldies, Southern Soul"
North Carolina,Rocky Mount/Wilson,WRMT - Step 98.1 FM/1490 AM - Urban Gospel,Unknown Format
North Carolina,Rocky Mount/Wilson,WEED - Jammin Gospel 1390 AM,Urban Gospel
North Carolina,Rocky Mount/Wilson,WUBN-LP - 106.9 The Spirit,Urban Gospel
North Carolina,Rocky Mount/Wilson,WZAX - 99.3 The Beach - Beach music,Unknown Format
North Carolina,Warrenton,WARR 103.5 FM/1520 AM,"Urban Gospel, Urban Oldies, Southern Soul"
North Carolina,Louisburg,"WYRN 106.9 FM/1480 AM - Urban Gospel, Urban Oldies, Southern Soul",Unknown Format
North Carolina,Elizabeth City/Nags Head,WFMZ 104.9 The Block,Classic Hip Hop
North Carolina,Elizabeth City/Nags Head,WBXB 100.1 The B,Urban Adult Contemporary
North Carolina,Elizabeth City/Nags Head,WFMI Rejoice 100.9 - Urban Gospel,Unknown Format
North Carolina,Elizabeth City/Nags Head,WRVS-FM - 89.9 - Urban Contemporary,Unknown Format
North Carolina,Goldsboro/Kinston,WFMC Gospel 105.7 FM/730 AM - Urban Gospel,Unknown Format
North Carolina,Goldsboro/Kinston,WWMC Gospel 92.9 FM/1010 AM - Urban Gospel,Unknown Format
North Carolina,Goldsboro/Kinston,WSSG 92.7 Jamz FM/1300 AM - Mainstream Urban,Unknown Format
North Carolina,Goldsboro/Kinston,WELS-FM Beach Boogie & Blues 102.9 - Rhythmic Oldies,Unknown Format
North Carolina,Roanoke Rapids,WYTT/WWDR 99.5 & 105.9 Jamz - Urban Adult Contemporary,Unknown Format
North Carolina,Roanoke Rapids,"WCBT Soul 102.7/1230AM - Urban Gospel, Urban Oldies, Southern Soul",Unknown Format
North Carolina,Canton,"WXKL - Urban Gospel, Urban Oldies",Unknown Format
North Dakota,Fargo,KLTA-HD2/K245BY - 96.9 Hits FM - Rhythmic Top 40,Unknown Format
Ohio,Cleveland,WENZ,Z-107.9
Ohio,Cleveland,WZAK,93.1 WZAK
Ohio,Cleveland,WAKS-HD2 - Real 106.1 - Urban contemporary,Unknown Format
Ohio,Cleveland,WJMO,Praise 94.5
Ohio,Cleveland,WMMS-HD2/W256BT - Cleveland's BIN 99.1 - Black-oriented news,Unknown Format
Ohio,Cleveland,WABQ - AM 1460 - Urban gospel,Unknown Format
