State,City,Station,Format
Colorado,Fort Collins,KARS-FM - Power 102.9 - Rhythmic Top 40/Hip Hop,Unknown Format
Colorado,Fort Collins,KJMP - Jump 104.5 - Classic Hip Hop,Unknown Format
Connecticut,Hartford/New Haven,WQTQ - Qute 89.9 - Urban Contemporary (Hartford),Unknown Format
Connecticut,Hartford/New Haven,WYBC-FM,94.3 WYBC
Connecticut,Hartford/New Haven,WKCI-HD2 - 100.9 The Beat - Mainstream urban (New Haven),Unknown Format
Connecticut,Hartford/New Haven,WZMX,Hot 93.7
Connecticut,Hartford/New Haven,WBOM - 102.5 Hartford's R&B Station - Urban Adult Contemporary (Meriden/Hartford),Unknown Format
Connecticut,Hartford/New Haven,WLAT/WKND - Mega 101.7 & 97.5 - Spanish tropical,Unknown Format
Connecticut,Hartford/New Haven,WMRQ-HD2 - Bomba FM - Spanish tropical (Hartford/Meriden),Unknown Format
Connecticut,Hartford/New Haven,WRYM/WWCO/WCUM - Viva Radio - Latin pop/Tropical music/Reggaeton (Hartford/New Haven),Unknown Format
Connecticut,New London,WWRX,Jammin' 107.7 Rhythmic contemporary hit radio
Connecticut,New London,WDUP-LP - 92.9 FM WDUP Timeless Hip Hop and R&B - Urban Adult Contemporary,Unknown Format
Connecticut,Bloomfield,WGZO-LP - Heartbeat 98.7 - Urban gospel,Unknown Format
Delaware,Wilmington,WXHL-FM - Reach Gospel Radio 89.1 - Urban gospel,Unknown Format
Delaware,Wilmington,WOCQ - Maxima 104.1 - Spanish CHR,Unknown Format
District of Columbia,Washington,WOL,News Talk 1450 - Urban News/Talk
District of Columbia,Washington,WYCB,Spirit 1340
District of Columbia,Washington,WPRS-FM,Praise 104.1
District of Columbia,Washington,WHUR,96.3 WHUR
District of Columbia,Washington,WKYS,93.9 WKYS
District of Columbia,Washington,WMMJ/WDCJ,Majic 102.3/92.7
District of Columbia,Washington,WPGC-FM,WPGC 95.5
District of Columbia,Washington,WUST/WMZQ-HD2 - DMV's BIN 1120 - Black-oriented news,Unknown Format
District of Columbia,Washington,WLZL - El Zol 107.9 - Bilingual Rhythmic CHR,Unknown Format
Florida,Miami/Fort Lauderdale,WMBM,1490 - Urban contemporary gospel
Florida,Miami/Fort Lauderdale,WMIB,103.5 The Beat
Florida,Miami/Fort Lauderdale,WMIB HD-3 - PK's Throwback 105.5 - Classic Hip Hop,Unknown Format
Florida,Miami/Fort Lauderdale,WEDR,99 Jamz
Florida,Miami/Fort Lauderdale,WHQT,Hot 105
Florida,Miami/Fort Lauderdale,WXBN - Miami's BIN 880 - Black-oriented news,Unknown Format
Florida,Miami/Fort Lauderdale,WEXY - AM 1520 - Urban contemporary gospel/Brokered programming,Unknown Format
Florida,Miami/Fort Lauderdale,WPOW - POWER 96 - Rhythmic Adult Contemporary,Unknown Format
Florida,Miami/Fort Lauderdale,WZTU - Tu 94.9 - Spanish Top 40,Unknown Format
Florida,Miami/Fort Lauderdale,WRMA - Ritmo 95.7 - Cubatón,Unknown Format
Florida,Miami/Fort Lauderdale,WRTO-FM - Mix 98.3 - Spanish tropical,Unknown Format
Florida,Miami/Fort Lauderdale,WXDJ - El Zol 106.7 - Spanish CHR,Unknown Format
Florida,Tampa Bay Area,WBTP,95.7 The Beat
Florida,Tampa Bay Area,WBTP HD-2,Black Information Network - Black-oriented news
Florida,Tampa Bay Area,WLLD,Wild 94.1
Florida,Tampa Bay Area,WTMP - 1150 AM & 102.1 FM WTMP - Urban oldies,Unknown Format
Florida,Tampa Bay Area,WTBV - 101.5 The Vibe - Urban Adult Contemporary,Unknown Format
Florida,Tampa Bay Area,"WMNF HD-2 - The Urban Cafe 88.5 HD-2 - R&B, Neo-Soul, Classic Hip Hop, Variety",Unknown Format
Florida,Jacksonville,WZAZ,Gospel 1400 the Light
Florida,Jacksonville,WJBT,93.3 The Beat Jamz
Florida,Jacksonville,WJBT HD-2 - Jacksonville's BIN 104.1 - Black-Oriented News,Unknown Format
Florida,Jacksonville,WSOL-FM,V-101.5
Florida,Jacksonville,WCGL,The Victory Station AM 1360 & 94.7 - Urban contemporary gospel
Florida,Jacksonville,WJGL-HD2,Power 106.1 - Urban contemporary
Florida,Jacksonville,WJNJ,Pure Radio 1320 & 103.7 - Urban contemporary gospel
Florida,Jacksonville,WHJX - Hot 106.5 - Urban Adult Contemporary,Unknown Format
Florida,Jacksonville,WKSL HD-3 - Praise 107.9 - Urban contemporary gospel,Unknown Format
Florida,Jacksonville,WYKB - Flow 105.3 - Spanish rhythmic,Unknown Format
Florida,Jacksonville,WEWC/WJXR - Latina 92.1 - Spanish tropical,Unknown Format
