State,City,Station,Format,City Match,State Match,FCC URL,HTTP Status Code
California,Victorville,KATJ HD-2 - HD-96.3 - Rhythmic Contemporary/Hip Hop,Unknown Format,No,No,https://publicfiles.fcc.gov/fm-profile/KATJ-FM/rss,200
California,Barstow,KWIE - Old School 101.3 - Rhythmic oldies,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/KWIE/rss,200
California,Chico,KZSZ-HD2 - 93.3 Urbana - Spanish rhythmic,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/KZSZ/rss,200
California,Santa Rosa,KSXY - Latino 100.9 - Spanish CHR,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/KSXY/rss,200
Colorado,Denver,KQKS,KS107.5,No,Yes,https://publicfiles.fcc.gov/fm-profile/KQKS/rss,200
Colorado,Denver,KUVO HD-2 - The Drop 104.7 & 89.3 HD-2 - Urban Contemporary,Unknown Format,No,No,https://publicfiles.fcc.gov/fm-profile/KUVO/rss,200
Colorado,Denver,KFCO - KFCO 107.1 - Christian Hip Hop,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/KFCO/rss,200
Colorado,Colorado Springs,KIBT,96.1 The Beat,No,Yes,https://publicfiles.fcc.gov/fm-profile/KIBT/rss,200
Colorado,Fort Collins,KJMP - Jump 104.5 - Classic Hip Hop,Unknown Format,No,Yes,https://publicfiles.fcc.gov/am-profile/KJMP/rss,200
Connecticut,Hartford/New Haven,WQTQ - Qute 89.9 - Urban Contemporary (Hartford),Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/WQTQ/rss,200
Connecticut,Hartford/New Haven,WYBC-FM,94.3 WYBC,No,Yes,https://publicfiles.fcc.gov/am-profile/WYBC/rss,200
Connecticut,Hartford/New Haven,WKCI-HD2 - 100.9 The Beat - Mainstream urban (New Haven),Unknown Format,No,No,https://publicfiles.fcc.gov/am-profile/WKCI/rss,200
Connecticut,Hartford/New Haven,WZMX,Hot 93.7,No,Yes,https://publicfiles.fcc.gov/fm-profile/WZMX/rss,200
Connecticut,Hartford/New Haven,WBOM - 102.5 Hartford's R&B Station - Urban Adult Contemporary (Meriden/Hartford),Unknown Format,No,No,https://publicfiles.fcc.gov/am-profile/WBOM/rss,200
Connecticut,Hartford/New Haven,WLAT/WKND - Mega 101.7 & 97.5 - Spanish tropical,Unknown Format,No,Yes,https://publicfiles.fcc.gov/am-profile/WLAT/rss,200
Connecticut,Hartford/New Haven,WMRQ-HD2 - Bomba FM - Spanish tropical (Hartford/Meriden),Unknown Format,No,No,https://publicfiles.fcc.gov/fm-profile/WMRQ-FM/rss,200
Connecticut,Hartford/New Haven,WRYM/WWCO/WCUM - Viva Radio - Latin pop/Tropical music/Reggaeton (Hartford/New Haven),Unknown Format,No,Yes,https://publicfiles.fcc.gov/am-profile/WRYM/rss,200
Connecticut,New London,WWRX,Jammin' 107.7 Rhythmic contemporary hit radio,No,Yes,https://publicfiles.fcc.gov/fm-profile/WWRX/rss,200
Delaware,Wilmington,WXHL-FM - Reach Gospel Radio 89.1 - Urban gospel,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/WXHL-FM/rss,200
Delaware,Wilmington,WOCQ - Maxima 104.1 - Spanish CHR,Unknown Format,No,No,https://publicfiles.fcc.gov/am-profile/WOCQ/rss,200
District of Columbia,Washington,WOL,News Talk 1450 - Urban News/Talk,No,No,https://publicfiles.fcc.gov/am-profile/KVCK/rss,200
District of Columbia,Washington,WYCB,Spirit 1340,Yes,No,https://publicfiles.fcc.gov/am-profile/WYCB/rss,200
District of Columbia,Washington,WPRS-FM,Praise 104.1,No,No,https://publicfiles.fcc.gov/fm-profile/WPRS-FM/rss,200
